"Puerto Rico";"001939"
"Jamaika";"001876"
"St. Kitts und Nevis";"001869"
"Trinidad und Tobago";"001868"
"Dominikanische Republik";"001849"
"Dominikanische Republik";"001829"
"Dominikanische Republik";"001809"
"Puerto Rico";"001787"
"St. Vincent und die Grenadinen";"001784"
"Dominica";"001767"
"St. Lucia";"001758"
"Sint Maarten";"001721"
"Amerikanisch-Samoa";"001684"
"Guam";"001671"
"Marianen";"001670"
"Montserrat";"001664"
"Turks und Caicos-Inseln";"001649"
"Grenada";"001473"
"Bermudas";"001441"
"Cayman-Inseln";"001345"
"Amerikanische Jungferninseln";"001340"
"Britische Jungferninseln";"001284"
"Antigua und Barbuda";"001268"
"Anguilla";"001264"
"Barbados";"001246"
"Bahamas";"001242"
"Usbekistan";"00998"
"Kirgisistan";"00996"
"Georgien";"00995"
"Aserbaidschan";"00994"
"Turkmenistan";"00993"
"Tadschikistan";"00992"
"Iran";"0098"
"Nepal";"00977"
"Mongolei";"00976"
"Bhutan";"00975"
"Qatar";"00974"
"Bahrain";"00973"
"Israel";"00972"
"Vereinigte Arabische Emirate";"00971"
"Palästinensische Autonomiegebiete";"00970"
"Oman";"00968"
"Jemen";"00967"
"Saudi-Arabien";"00966"
"Kuwait";"00965"
"Irak";"00964"
"Syrien";"00963"
"Jordanien";"00962"
"Libanon";"00961"
"Malediven";"00960"
"Myanmar (Burma)";"0095"
"Sri Lanka";"0094"
"Afghanistan";"0093"
"Pakistan";"0092"
"Indien";"0091"
"Türkei";"0090"
"Taiwan";"00886"
"Bangladesh";"00880"
"Pitcairn";"00870"
"China";"0086"
"Laos";"00856"
"Kambodscha";"00855"
"Macao";"00853"
"Hongkong";"00852"
"Nordkorea";"00850"
"Vietnam";"0084"
"Südkorea";"0082"
"Japan";"0081"
"Marshall-Inseln";"00692"
"Mikronesien";"00691"
"Tokelau";"00690"
"Französisch-Polynesien";"00689"
"Tuvalu";"00688"
"Neukaledonien";"00687"
"Kiribati";"00686"
"Samoa";"00685"
"Niue";"00683"
"Cook";"00682"
